"","max_ord","eps","algorithm"
"1",153,"1","B"
"2",172,"1","B"
"3",201,"1","B"
"4",242,"1","B"
"5",224,"1","B"
"6",200,"1","B"
"7",218,"1","B"
"8",255,"1","B"
"9",211,"1","B"
"10",350,"1","B"
"11",228,"1","B"
"12",146,"1","B"
"13",350,"1","B"
"14",257,"1","B"
"15",151,"1","B"
"16",764,"1","B"
"17",243,"1","B"
"18",283,"1","B"
"19",238,"1","B"
"20",151,"1","B"
"21",434,"1","B"
"22",194,"1","B"
"23",238,"1","B"
"24",208,"1","B"
"25",243,"1","B"
"26",238,"1","B"
"27",151,"1","B"
"28",151,"1","B"
"29",431,"1","B"
"30",298,"1","B"
"31",238,"1","B"
"32",278,"1","B"
"33",278,"1","B"
"34",278,"1","B"
"35",278,"1","B"
"36",278,"1","B"
"37",278,"1","B"
"38",278,"1","B"
"39",278,"1","B"
"40",278,"1","B"
"41",278,"1","B"
"42",278,"1","B"
"43",278,"1","B"
"44",278,"1","B"
"45",278,"1","B"
"46",278,"1","B"
"47",278,"1","B"
"48",278,"1","B"
"49",278,"1","B"
"50",255,"1","B"
"51",263,"1","B"
"52",398,"1","B"
"53",206,"1","B"
"54",220,"1","B"
"55",141,"1","B"
"56",220,"1","B"
"57",265,"1","B"
"58",153,"1","B"
"59",141,"1","B"
"60",153,"1","B"
"61",153,"1","B"
"62",141,"1","B"
"63",331,"1","B"
"64",228,"1","B"
"65",178,"1","B"
"66",331,"1","B"
"67",169,"1","B"
"68",244,"1","B"
"69",173,"1","B"
"70",244,"1","B"
"71",244,"1","B"
"72",281,"1","B"
"73",150,"1","B"
"74",169,"1","B"
"75",248,"1","B"
"76",275,"1","B"
"77",244,"1","B"
"78",169,"1","B"
"79",340,"1","B"
"80",244,"1","B"
"81",238,"1","B"
"82",591,"1","B"
"83",347,"1","B"
"84",169,"1","B"
"85",310,"1","B"
"86",347,"1","B"
"87",347,"1","B"
"88",599,"1","B"
"89",347,"1","B"
"90",347,"1","B"
"91",481,"1","B"
"92",347,"1","B"
"93",347,"1","B"
"94",599,"1","B"
"95",347,"1","B"
"96",310,"1","B"
"97",347,"1","B"
"98",525,"1","B"
"99",310,"1","B"
"100",331,"1","Q"
"101",107,"1","Q"
"102",75,"1","Q"
"103",53,"1","Q"
"104",44,"1","Q"
"105",55,"1","Q"
"106",75,"1","Q"
"107",71,"1","Q"
"108",41,"1","Q"
"109",56,"1","Q"
"110",84,"1","Q"
"111",56,"1","Q"
"112",66,"1","Q"
"113",93,"1","Q"
"114",101,"1","Q"
"115",95,"1","Q"
"116",43,"1","Q"
"117",60,"1","Q"
"118",53,"1","Q"
"119",83,"1","Q"
"120",76,"1","Q"
"121",53,"1","Q"
"122",65,"1","Q"
"123",69,"1","Q"
"124",44,"1","Q"
"125",58,"1","Q"
"126",56,"1","Q"
"127",56,"1","Q"
"128",49,"1","Q"
"129",54,"1","Q"
"130",61,"1","Q"
"131",43,"1","Q"
"132",67,"1","Q"
"133",70,"1","Q"
"134",59,"1","Q"
"135",57,"1","Q"
"136",65,"1","Q"
"137",51,"1","Q"
"138",65,"1","Q"
"139",63,"1","Q"
"140",77,"1","Q"
"141",48,"1","Q"
"142",57,"1","Q"
"143",60,"1","Q"
"144",55,"1","Q"
"145",105,"1","Q"
"146",59,"1","Q"
"147",49,"1","Q"
"148",73,"1","Q"
"149",98,"1","Q"
"150",65,"1","Q"
"151",70,"1","Q"
"152",75,"1","Q"
"153",78,"1","Q"
"154",69,"1","Q"
"155",65,"1","Q"
"156",69,"1","Q"
"157",72,"1","Q"
"158",85,"1","Q"
"159",81,"1","Q"
"160",55,"1","Q"
"161",99,"1","Q"
"162",89,"1","Q"
"163",81,"1","Q"
"164",96,"1","Q"
"165",57,"1","Q"
"166",69,"1","Q"
"167",68,"1","Q"
"168",71,"1","Q"
"169",61,"1","Q"
"170",70,"1","Q"
"171",64,"1","Q"
"172",63,"1","Q"
"173",48,"1","Q"
"174",50,"1","Q"
"175",73,"1","Q"
"176",53,"1","Q"
"177",62,"1","Q"
"178",38,"1","Q"
"179",63,"1","Q"
"180",64,"1","Q"
"181",43,"1","Q"
"182",53,"1","Q"
"183",50,"1","Q"
"184",52,"1","Q"
"185",47,"1","Q"
