"","max_ord","n","algorithm"
"1",69,100,"B"
"2",69,100,"B"
"3",69,100,"B"
"4",69,100,"B"
"5",69,100,"B"
"6",82,100,"B"
"7",65,100,"B"
"8",100,100,"B"
"9",95,100,"B"
"10",100,100,"B"
"11",100,100,"B"
"12",95,100,"B"
"13",65,100,"B"
"14",100,100,"B"
"15",82,100,"B"
"16",100,100,"B"
"17",100,100,"B"
"18",86,100,"B"
"19",82,100,"B"
"20",100,100,"B"
"21",100,100,"B"
"22",100,100,"B"
"23",82,100,"B"
"24",100,100,"B"
"25",100,100,"B"
"26",100,100,"B"
"27",100,100,"B"
"28",95,100,"B"
"29",100,100,"B"
"30",47,100,"B"
"31",55,100,"B"
"32",55,100,"B"
"33",55,100,"B"
"34",55,100,"B"
"35",47,100,"B"
"36",55,100,"B"
"37",55,100,"B"
"38",46,100,"B"
"39",62,100,"B"
"40",55,100,"B"
"41",47,100,"B"
"42",55,100,"B"
"43",55,100,"B"
"44",55,100,"B"
"45",55,100,"B"
"46",47,100,"B"
"47",56,100,"B"
"48",55,100,"B"
"49",55,100,"B"
"50",62,100,"B"
"51",55,100,"B"
"52",55,100,"B"
"53",55,100,"B"
"54",55,100,"B"
"55",87,100,"B"
"56",93,100,"B"
"57",50,100,"B"
"58",50,100,"B"
"59",93,100,"B"
"60",87,100,"B"
"61",100,100,"B"
"62",87,100,"B"
"63",50,100,"B"
"64",100,100,"B"
"65",100,100,"B"
"66",93,100,"B"
"67",95,100,"B"
"68",87,100,"B"
"69",50,100,"B"
"70",87,100,"B"
"71",85,100,"B"
"72",87,100,"B"
"73",100,100,"B"
"74",87,100,"B"
"75",87,100,"B"
"76",50,100,"B"
"77",100,100,"B"
"78",87,100,"B"
"79",100,100,"B"
"80",100,100,"B"
"81",100,100,"B"
"82",63,100,"B"
"83",100,100,"B"
"84",100,100,"B"
"85",100,100,"B"
"86",100,100,"B"
"87",76,100,"B"
"88",94,100,"B"
"89",100,100,"B"
"90",94,100,"B"
"91",100,100,"B"
"92",100,100,"B"
"93",100,100,"B"
"94",63,100,"B"
"95",100,100,"B"
"96",100,100,"B"
"97",100,100,"B"
"98",100,100,"B"
"99",57,100,"B"
"100",100,1000,"B"
"101",962,1000,"B"
"102",962,1000,"B"
"103",988,1000,"B"
"104",763,1000,"B"
"105",481,1000,"B"
"106",481,1000,"B"
"107",481,1000,"B"
"108",481,1000,"B"
"109",763,1000,"B"
"110",763,1000,"B"
"111",860,1000,"B"
"112",763,1000,"B"
"113",481,1000,"B"
"114",481,1000,"B"
"115",481,1000,"B"
"116",763,1000,"B"
"117",988,1000,"B"
"118",860,1000,"B"
"119",481,1000,"B"
"120",860,1000,"B"
"121",481,1000,"B"
"122",768,1000,"B"
"123",978,1000,"B"
"124",921,1000,"B"
"125",978,1000,"B"
"126",998,1000,"B"
"127",921,1000,"B"
"128",768,1000,"B"
"129",978,1000,"B"
"130",1000,1000,"B"
"131",613,1000,"B"
"132",978,1000,"B"
"133",857,1000,"B"
"134",998,1000,"B"
"135",768,1000,"B"
"136",768,1000,"B"
"137",457,1000,"B"
"138",921,1000,"B"
"139",702,1000,"B"
"140",921,1000,"B"
"141",842,1000,"B"
"142",586,1000,"B"
"143",586,1000,"B"
"144",842,1000,"B"
"145",842,1000,"B"
"146",586,1000,"B"
"147",842,1000,"B"
"148",586,1000,"B"
"149",586,1000,"B"
"150",976,1000,"B"
"151",976,1000,"B"
"152",586,1000,"B"
"153",586,1000,"B"
"154",586,1000,"B"
"155",586,1000,"B"
"156",842,1000,"B"
"157",976,1000,"B"
"158",976,1000,"B"
"159",586,1000,"B"
"160",710,1000,"B"
"161",710,1000,"B"
"162",710,1000,"B"
"163",710,1000,"B"
"164",710,1000,"B"
"165",710,1000,"B"
"166",710,1000,"B"
"167",710,1000,"B"
"168",710,1000,"B"
"169",710,1000,"B"
"170",710,1000,"B"
"171",710,1000,"B"
"172",710,1000,"B"
"173",710,1000,"B"
"174",710,1000,"B"
"175",710,1000,"B"
"176",710,1000,"B"
"177",901,1000,"B"
"178",999,1000,"B"
"179",756,1000,"B"
"180",445,1000,"B"
"181",756,1000,"B"
"182",756,1000,"B"
"183",445,1000,"B"
"184",445,1000,"B"
"185",756,1000,"B"
"186",445,1000,"B"
"187",756,1000,"B"
"188",445,1000,"B"
"189",587,1000,"B"
"190",445,1000,"B"
"191",445,1000,"B"
"192",445,1000,"B"
"193",445,1000,"B"
"194",445,1000,"B"
"195",445,1000,"B"
"196",445,1000,"B"
"197",756,1000,"B"
"198",547,1000,"B"
"199",547,1000,"B"
"200",901,10000,"B"
"201",4735,10000,"B"
"202",7360,10000,"B"
"203",9135,10000,"B"
"204",9998,10000,"B"
"205",9007,10000,"B"
"206",9975,10000,"B"
"207",9165,10000,"B"
"208",6234,10000,"B"
"209",7448,10000,"B"
"210",9218,10000,"B"
"211",3593,10000,"B"
"212",6613,10000,"B"
"213",4216,10000,"B"
"214",9207,10000,"B"
"215",9207,10000,"B"
"216",7957,10000,"B"
"217",9517,10000,"B"
"218",8029,10000,"B"
"219",9801,10000,"B"
"220",6647,10000,"B"
"221",9187,10000,"B"
"222",5772,10000,"B"
"223",6142,10000,"B"
"224",5795,10000,"B"
"225",4178,10000,"B"
"226",8578,10000,"B"
"227",9013,10000,"B"
"228",3954,10000,"B"
"229",3709,10000,"B"
"230",9188,10000,"B"
"231",8763,10000,"B"
"232",2189,10000,"B"
"233",5216,10000,"B"
"234",8511,10000,"B"
"235",8953,10000,"B"
"236",9495,10000,"B"
"237",9805,10000,"B"
"238",4328,10000,"B"
"239",7464,10000,"B"
"240",5018,10000,"B"
"241",5684,10000,"B"
"242",9447,10000,"B"
"243",6324,10000,"B"
"244",5123,10000,"B"
"245",9141,10000,"B"
"246",4620,10000,"B"
"247",5323,10000,"B"
"248",7961,10000,"B"
"249",9664,10000,"B"
"250",6749,10000,"B"
"251",4634,10000,"B"
"252",9935,10000,"B"
"253",5204,10000,"B"
"254",2935,10000,"B"
"255",9857,10000,"B"
"256",9849,10000,"B"
"257",6867,10000,"B"
"258",2993,10000,"B"
"259",8062,10000,"B"
"260",7897,10000,"B"
"261",8822,10000,"B"
"262",8641,10000,"B"
"263",5445,10000,"B"
"264",6216,10000,"B"
"265",8353,10000,"B"
"266",9176,10000,"B"
"267",9686,10000,"B"
"268",4716,10000,"B"
"269",5351,10000,"B"
"270",8199,10000,"B"
"271",4200,10000,"B"
"272",8180,10000,"B"
"273",5004,10000,"B"
"274",7365,10000,"B"
"275",4019,10000,"B"
"276",6683,10000,"B"
"277",8121,10000,"B"
"278",5994,10000,"B"
"279",9987,10000,"B"
"280",6470,10000,"B"
"281",5656,10000,"B"
"282",9874,10000,"B"
"283",4748,10000,"B"
"284",7179,10000,"B"
"285",6926,10000,"B"
"286",4574,10000,"B"
"287",7735,10000,"B"
"288",5801,10000,"B"
"289",6158,10000,"B"
"290",9725,10000,"B"
"291",8740,10000,"B"
"292",2514,10000,"B"
"293",6906,10000,"B"
"294",5284,10000,"B"
